X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
ARISA_666.4	ARISA_679.4	-0.080814	-0.080814	-0.080814	69	69	46	0	0.999993	0.055832	0.546441	0.099837	0.282082	-1	0.163961	0.074781	0.176440	0.055973	1	1.000000	0.092617	0.006232	0.069384	0.001517	11	15
ARISA_666.4	ARISA_682.4	0.115721	0.115721	0.115721	16	16	53	0	0.982152	0.132339	0.151366	0.132339	0.151366	0	0.046410	0.616227	-0.054843	0.555291	-1	1.000000	0.039833	0.004176	0.306411	0.009163	11	16
ARISA_666.4	ARISA_686.9	0.186864	0.186864	0.186864	4	4	116	0	0.417903	0.433997	0.000001	0.433997	0.000001	0	0.550153	0.000000	0.550153	0.000000	0	0.763127	0.000003	0.000000	0.000000	0.000000	11	17
ARISA_666.4	ARISA_689.8	0.128768	0.128768	0.128768	36	36	84	0	0.938600	0.057216	0.536527	0.057216	0.536527	0	0.014694	0.873976	-0.036702	0.693155	-1	1.000000	0.091453	0.010572	0.396412	0.011055	11	18
ARISA_666.4	ARISA_729.4	-0.137452	-0.137452	-0.137452	5	5	114	0	0.884457	-0.202503	0.027198	-0.202503	0.027198	0	-0.207827	0.023328	-0.207827	0.023328	0	1.000000	0.011039	0.001157	0.026244	0.000762	11	19
ARISA_666.4	ARISA_828.8	0.124120	0.124120	0.124120	2	2	96	0	0.958292	0.115271	0.211901	0.115271	0.211901	0	0.135873	0.140645	0.135873	0.140645	0	1.000000	0.050055	0.005298	0.102911	0.003084	11	20
ARISA_666.4	ARISA_831.8	0.082403	0.082403	0.082403	10	10	61	0	0.999986	0.061766	0.504572	0.061766	0.504572	0	0.009625	0.917256	-0.073272	0.430392	1	1.000000	0.088430	0.010041	0.406665	0.007300	11	21
ARISA_667.6	ARISA_670.5	0.081456	0.081456	0.081456	32	32	88	0	0.999990	0.165341	0.072333	0.165341	0.072333	0	0.213115	0.019962	0.213115	0.019962	0	1.000000	0.022313	0.002408	0.023954	0.000715	12	13
ARISA_667.6	ARISA_676.9	0.146284	0.146284	0.146284	14	13	83	1	0.812280	0.092474	0.317178	0.105830	0.254047	-1	0.133088	0.149042	0.133088	0.149042	0	1.000000	0.065174	0.005934	0.106458	0.003226	12	14
ARISA_667.6	ARISA_679.4	0.214186	0.214186	0.214186	1	2	118	-1	0.213956	0.239291	0.008767	0.257098	0.004947	-1	0.324758	0.000314	0.324758	0.000314	0	0.453846	0.004505	0.000341	0.000883	0.000032	12	15
