VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
Chlamydiae,TM7,0.33192996387671225,8.632768270661233e-8,1.3653499607991407e-7,0.33192996387671225,8.632768270661233e-8,1.3653499607991407e-7,-0.06648422654670513,0.498,0.5919622641509433
TM7,ZB3,0.328675706955294,1.1723454461526863e-7,1.8387824840071178e-7,0.328675706955294,1.1723454461526863e-7,1.8387824840071178e-7,-0.09232340364259994,0.032,0.050823529411764747
TM7,TM7,1,-0,-0,1,-0,-0,1,1,1
SBR1093,WPS-2,0.10902093225188214,0.08665735429929884,0.09606005843148081,0.10902093225188214,0.08665735429929884,0.09606005843148081,0.08809323680460189,0.1379999999999999,0.19319999999999984
Cyanobacteria,WPS-2,0.20518893696868387,0.0011555126723365261,0.0014227485020951365,0.20518893696868387,0.0011555126723365261,0.0014227485020951365,0.3682869261149914,0,0
Firmicutes,WPS-2,0.37631318212099424,9.195078260221881e-10,1.6872522244484813e-9,0.37631318212099424,9.195078260221881e-10,1.6872522244484813e-9,0.18178116384797297,0,0
Euryarchaeota,WPS-2,0.41259112547667776,1.3003611773257044e-11,2.6064482245402507e-11,0.41259112547667776,1.3003611773257044e-11,2.6064482245402507e-11,-0.18837577231292588,0.004,0.007375609756097568
Actinobacteria,WPS-2,0.46459780441456416,1.1061826788919049e-14,2.6803657219303847e-14,0.46459780441456416,1.1061826788919049e-14,2.6803657219303847e-14,-0.08752672434132278,0.326,0.41076
Bacteroidetes,WPS-2,0.3728651450896752,1.3423328792814434e-9,2.4277599443463424e-9,0.3728651450896752,1.3423328792814434e-9,2.4277599443463424e-9,0.2810933413395743,0,0
Proteobacteria,WPS-2,0.43099877523521185,1.2210750236591786e-12,2.6526802238113193e-12,0.43099877523521185,1.2210750236591786e-12,2.6526802238113193e-12,0.12392160995757803,0.06400000000000006,0.096382470119522
Verrucomicrobia,WPS-2,0.3853249703822856,3.349189210357018e-10,6.298475231417676e-10,0.3853249703822856,3.349189210357018e-10,6.298475231417676e-10,-0.12800064793843613,0.102,0.14604545454545453
Unassigned.1,WPS-2,0.48506345344989604,4.842373488638078e-16,1.262356674969099e-15,0.48506345344989604,4.842373488638078e-16,1.262356674969099e-15,0.06263165855459019,0.30600000000000005,0.39077027027027034
Chlamydiae,WPS-2,0.3331478775746483,7.691506257988204e-8,1.2215921703863616e-7,0.3331478775746483,7.691506257988204e-8,1.2215921703863616e-7,0.12450510836988996,0.0040000000000000036,0.007375609756097568
WPS-2,ZB3,0.3543987618589756,9.452326584441736e-9,1.5879908661862116e-8,0.3543987618589756,9.452326584441736e-9,1.5879908661862116e-8,0.023356090867434603,0.74,0.8476363636363636
TM7,WPS-2,0.4034455456307552,3.996469609483987e-11,7.8272824475904e-11,0.4034455456307552,3.996469609483987e-11,7.8272824475904e-11,0.18793783568296568,0,0
WPS-2,WPS-2,1,-0,-0,1,-0,-0,1,1,1
Lentisphaerae,SBR1093,-0.1887853378694066,0.0028370745306277134,0.0034262433628666953,-0.1887853378694066,0.0028370745306277134,0.0034262433628666953,-0.20143308464542503,0,0
Cyanobacteria,Lentisphaerae,0.07019531695314596,0.27080476422055466,0.28844963575506627,0.07019531695314596,0.27080476422055466,0.28844963575506627,0.26526291727539775,0,0
Firmicutes,Lentisphaerae,0.18196222280933008,0.004038892082434874,0.004816092136152625,0.18196222280933008,0.004038892082434874,0.004816092136152625,0.06627771350023118,0.1499999999999999,0.2092250922509224
Euryarchaeota,Lentisphaerae,0.42667810939050826,2.155283718202329e-12,4.6289616220481844e-12,0.42667810939050826,2.155283718202329e-12,4.6289616220481844e-12,-0.09129105519460909,0.308,0.392
Actinobacteria,Lentisphaerae,0.17374537739666032,0.006084049666017722,0.007186783667983434,0.17374537739666032,0.006084049666017722,0.007186783667983434,-0.45704596076855847,0,0
Bacteroidetes,Lentisphaerae,0.4230925324055582,3.4327059983770465e-12,7.24895456640516e-12,0.4230925324055582,3.4327059983770465e-12,7.24895456640516e-12,0.41184762641863226,0,0
Lentisphaerae,Proteobacteria,0.3718054577877096,1.5065017900397982e-9,2.711703222071637e-9,0.3718054577877096,1.5065017900397982e-9,2.711703222071637e-9,0.22451231763440915,0.006000000000000005,0.010851674641148334
Lentisphaerae,Verrucomicrobia,0.32609197031575643,1.49100474159646e-7,2.3193407091500489e-7,0.32609197031575643,1.49100474159646e-7,2.3193407091500489e-7,-0.2271012446172056,0.01,0.017663551401869176
Lentisphaerae,Unassigned.1,0.5795728805548738,1.1853998474953064e-23,4.6193932201363485e-23,0.5795728805548738,1.1853998474953064e-23,4.6193932201363485e-23,0.32708355691425206,0,0
Chlamydiae,Lentisphaerae,0.14680893481681187,0.02073282535327346,0.023605445733546285,0.14680893481681187,0.02073282535327346,0.023605445733546285,-0.023078342167230412,0.876,0.9710498533724339
Lentisphaerae,ZB3,0.08535077192127871,0.18032312564077363,0.19419413530544852,0.08535077192127871,0.18032312564077363,0.19419413530544852,-0.25620691677481217,0,0
Lentisphaerae,TM7,0.26358028931866795,2.6167724681805848e-5,3.623223417480809e-5,0.26358028931866795,2.6167724681805848e-5,3.623223417480809e-5,0.007518502737607485,0.866,0.9656283185840707
Lentisphaerae,WPS-2,0.2874686038810692,4.190773226909246e-6,6.092739537583441e-6,0.2874686038810692,4.190773226909246e-6,6.092739537583441e-6,0.13067324027838845,0.030000000000000027,0.048669527896995746
