VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc,Weight.glasso
Actinobacteria,TM7,0.36633049610298973,2.716398565570072e-9,4.82065097551872e-9,0.11150292323888453,0.07967967776804151,0.11628925944524977,-0.19110934191087453,0,0,0
Bacteroidetes,TM7,0.1436030119475496,0.02371144272454339,0.026915691741373576,0.05680049922486517,0.37309257730990686,0.44639494752640035,-0.010893300333091535,0.5800000000000001,0.6808695652173915,0
Proteobacteria,TM7,0.2827019573680723,6.123273388651008e-6,8.767414170113943e-6,0.0640721967504634,0.3149231599236959,0.38497694532621385,-0.11092513503164964,0.06,0.0872307692307693,0
TM7,Verrucomicrobia,0.4018072848216084,4.869313445791481e-11,9.390818788312141e-11,0.09904237992340284,0.11978694776824095,0.16405603716085174,-0.17085820052760542,0,0,0
TM7,Unassigned.1,0.47454340379516813,2.4821985548474783e-15,6.2551403582156456e-15,0.14317679141174652,0.024133979105914256,0.03983687380801568,-0.13202980900312644,0,0,0
Chlamydiae,TM7,0.33192996387671225,8.632768270661233e-8,1.3653499607991407e-7,0.09502082018758605,0.1356446634196334,0.18182157011567884,-0.0458157493484073,0.62,0.7233333333333334,0
TM7,ZB3,0.328675706955294,1.1723454461526863e-7,1.8387824840071178e-7,0.10285418485012583,0.10612577586179266,0.14968486296924485,-0.07526588939600753,0.02,0.03150000000000003,0
TM7,TM7,1,-0,-0,1,-0,-0,1,1,1,0
SBR1093,WPS-2,0.10902093225188214,0.08665735429929884,0.09606005843148081,0.04127351089236675,0.5176526915420717,0.5874010032885396,0.07516440784180847,0.17999999999999994,0.2465217391304347,0
Cyanobacteria,WPS-2,0.20518893696868387,0.0011555126723365261,0.0014227485020951365,0.13144909647280664,0.03858471019085115,0.05977467398418744,0.35772287245256007,0,0,0
Firmicutes,WPS-2,0.37631318212099424,9.195078260221881e-10,1.6872522244484813e-9,0.18656219376027366,0.00318724818067039,0.006173900528906922,0.1735072166550926,0,0,0
Euryarchaeota,WPS-2,0.41259112547667776,1.3003611773257044e-11,2.6064482245402507e-11,0.14652518416143873,0.02098269762983845,0.03509495444282714,-0.17288981061692926,0,0,0
Actinobacteria,WPS-2,0.46459780441456416,1.1061826788919049e-14,2.6803657219303847e-14,0.16043030038071965,0.011402857560704346,0.020236057079559826,-0.07923132948107084,0.24,0.31831578947368416,0
